,Unnamed: 0,index,binned,distance,position
375,375,25,,0.16916172,71428.571
376,376,26,,0.16717838,74285.714
377,377,27,,0.17042722,77142.857
378,378,28,,0.16608301,80000.0
379,379,29,,0.15935187,82857.143
380,380,30,,0.16015258,85714.286
381,381,31,,0.15944919,88571.429
382,382,32,,0.15834582,91428.571
383,383,33,,0.15574148,94285.714
384,384,34,,0.1597789,97142.857
385,385,35,,0.15804172,100000.0
386,386,36,,0.15254246,102857.143
387,387,37,,0.1514743,105714.286
388,388,38,,0.15485126,108571.429
389,389,39,,0.15911989,111428.571
390,390,40,,0.15336241,114285.714
391,391,41,,0.15327534,117142.857
392,392,42,,0.15497288,120000.0
393,393,43,,0.1562016,122857.143
394,394,44,,0.14941019,125714.286
395,395,45,,0.14749154,128571.429
396,396,46,,0.1526706,131428.571
397,397,47,,0.15211208,134285.714
398,398,48,,0.153773,137142.857
399,399,49,,0.14906614,140000.0
400,400,50,,0.14513661,142857.143
401,401,51,,0.14414264,145714.286
402,402,52,,0.15178306,148571.429
403,403,53,,0.14626002,151428.571
404,404,54,,0.14893146,154285.714
405,405,55,,0.14792348,157142.857
406,406,56,,0.14288385,160000.0
407,407,57,,0.14053944,162857.143
408,408,58,,0.13953078,165714.286
409,409,59,,0.14014071,168571.429
410,410,60,,0.14318569,171428.571
411,411,61,,0.1439507,174285.714
412,412,62,,0.13935608,177142.857
413,413,63,,0.13650027,180000.0
414,414,64,,0.13930126,182857.143
415,415,65,,0.1389332,185714.286
416,416,66,,0.14192867,188571.429
417,417,67,,0.1402325,191428.571
418,418,68,,0.14058994,194285.714
419,419,69,,0.1330095,197142.857
420,420,70,,0.1350933,200000.0
421,421,71,,0.13552117,202857.143
422,422,72,,0.13619494,205714.286
423,423,73,,0.13366297,208571.429
424,424,74,,0.13137932,211428.571
425,425,75,,0.13412416,214285.714
426,426,76,,0.12891427,217142.857
427,427,77,,0.13157007,220000.0
428,428,78,,0.12483432,222857.143
429,429,79,,0.1252908,225714.286
430,430,80,,0.12648311,228571.429
431,431,81,,0.116680525,231428.571
432,432,82,,0.12631573,234285.714
433,433,83,,0.117871985,237142.857
434,434,84,,0.11772326,240000.0
435,435,85,,0.115339406,242857.143
436,436,86,,0.117773965,245714.286
437,437,87,,0.11697562,248571.429
438,438,88,,0.116118066,251428.571
439,439,89,,0.11295525,254285.714
440,440,90,,0.11619306,257142.857
441,441,91,,0.11020815,260000.0
442,442,92,,0.1130936,262857.143
443,443,93,,0.113752276,265714.286
444,444,94,,0.11601534,268571.429
445,445,95,,0.10999791,271428.571
446,446,96,,0.10802089,274285.714
447,447,97,,0.10455532,277142.857
448,448,98,,0.10690158,280000.0
449,449,99,,0.10383234,282857.143
450,450,100,,0.10764669,285714.286
451,451,101,,0.10750064,288571.429
452,452,102,,0.10934137,291428.571
453,453,103,,0.10360119,294285.714
454,454,104,,0.1028181,297142.857
455,455,105,,0.10682519,300000.0
456,456,106,,0.101923816,302857.143
457,457,107,,0.09993073,305714.286
458,458,108,,0.103085555,308571.429
459,459,109,,0.10275922,311428.571
460,460,110,,0.103045985,314285.714
461,461,111,,0.102406725,317142.857
462,462,112,,0.10566727,320000.0
463,463,113,,0.11238348,322857.143
464,464,114,,0.107693724,325714.286
465,465,115,,0.10702399,328571.429
466,466,116,,0.10442255,331428.571
467,467,117,,0.11170804,334285.714
468,468,118,,0.10822605,337142.857
469,469,119,,0.1125482,340000.0
470,470,120,,0.106731966,342857.143
471,471,121,,0.109322116,345714.286
472,472,122,,0.10177911,348571.429
473,473,123,,0.104951374,351428.571
474,474,124,,0.10780972,354285.714
475,475,125,,0.12582818,357142.857
476,476,126,,0.11577711,360000.0
477,477,127,,0.1138581,362857.143
478,478,128,,0.1122253,365714.286
479,479,129,,0.124455854,368571.429
480,480,130,,0.11323498,371428.571
481,481,131,,0.11294906,374285.714
482,482,132,,0.118523955,377142.857
483,483,133,,0.115456864,380000.0
484,484,134,,0.11668359,382857.143
485,485,135,,0.11159999,385714.286
486,486,136,,0.11814105,388571.429
487,487,137,,0.118473396,391428.571
488,488,138,,0.12392025,394285.714
489,489,139,,0.11275958,397142.857
490,490,140,,0.10893731,400000.0
491,491,141,,0.113238886,402857.143
492,492,142,,0.1117149,405714.286
493,493,143,,0.11280673,408571.429
494,494,144,,0.109872565,411428.571
495,495,145,,0.104589336,414285.714
496,496,146,,0.109164834,417142.857
497,497,147,,0.09642191,420000.0
498,498,148,,0.09191485,422857.143
499,499,149,,0.10576806,425714.286
500,500,150,,0.10356538,428571.429
501,501,151,,0.09387863,431428.571
502,502,152,,0.100708194,434285.714
503,503,153,,0.10576878,437142.857
504,504,154,,0.10155015,440000.0
505,505,155,,0.094980724,442857.143
506,506,156,,0.098630145,445714.286
507,507,157,,0.09719226,448571.429
508,508,158,,0.08461524,451428.571
509,509,159,,0.097029895,454285.714
510,510,160,,0.10130041,457142.857
511,511,161,,0.08878587,460000.0
512,512,162,,0.092641994,462857.143
513,513,163,,0.10166127,465714.286
514,514,164,,0.09981091,468571.429
515,515,165,,0.094497256,471428.571
516,516,166,,0.098089896,474285.714
517,517,167,,0.10962651,477142.857
518,518,168,,0.09712455,480000.0
519,519,169,,0.10608597,482857.143
520,520,170,,0.11963684,485714.286
521,521,171,,0.13942006,488571.429
522,522,172,,0.13225563,491428.571
523,523,173,,0.15455768,494285.714
524,524,174,,0.15249433,497142.857
525,525,0,,0.37086102,0.0
526,526,1,,0.3726134,2857.143
527,527,2,,0.37030613,5714.286
528,528,3,,0.3661385,8571.429
529,529,4,,0.3702237,11428.571
